i,j,EBC,CFEdge,BridgeImpact,MinCutCrit,line_name,line_voltage,length_m
2081,6060,0.01282051282051282,0.012820512820513072,0.0064102564102563875,0.009015715467328371,,275000,379.171554937614
6060,8606,0.041328921974083395,0.042487503146690066,0.0,0.003970223325062035,,275000,1738.72285637696
5640,6060,0.017011304108078232,0.029821627647714923,0.0,0.02349048800661704,,275000,994.589637537739
5567,5940,0.01282051282051282,0.012820512820513625,0.0064102564102563875,0.009098428453267164,上尾線;東埼玉線;?,275000;154000,7372.08345428526
1602,5567,0.06619756587498526,0.1703915373144266,0.0,0.011248966087675765,東京中線;東京中線;東京中線,275000;66000;275000;275000,8980.89889454337
5856,6710,0.00449407223600772,0.04877795953380659,0.0,0.006617038875103391,,275000,11764.1107526254
275,5856,0.043365702397960455,0.11713274763249097,0.0,0.010090984284532672,佐久間東幹線;中津線,275000;66000,52085.0692118085
6710,6756,0.01282051282051282,0.012820512820515134,0.0064102564102563875,0.01282051282051282,,275000,50895.7549846188
1196,6045,0.08949545078577337,0.08521784897188879,0.0,0.011993382961124897,,275000,9423.13769204853
1196,8606,0.07816377171215881,0.07995983281714886,0.0,0.011579818031430935,,275000,36586.8614965737
2082,8606,0.045437000275709925,0.044630848347538964,0.0,0.019768403639371383,,275000,5105.38493754315
5639,8606,0.019933829611248965,0.07530308226999115,0.0,0.012158808933002481,,275000;275000,715.303480329758
5642,6935,0.004273504273504257,0.010243823497680436,0.0,8.271298593879239e-05,,275000,344.07799763407
5640,5642,0.00033085194375516956,0.013798683784658488,0.0,0.00016542597187758478,,275000,380.900332453549
2082,5642,0.016680452164323064,0.01997158988743862,0.0,0.00024813895781637717,,275000;275000,1975.85085267855
5640,6935,0.004521643231320633,0.015713669219980395,0.0,0.00024813895781637717,,275000,35.4371800653347
2025,6935,0.004438930245381841,0.015977991153306618,0.0,0.006699751861042184,,275000;275000,15.5798331497112
5788,5789,0.0017231872070581748,0.03962268501832539,0.0,0.00934656741108354,,275000,1029.06375516092
5789,5790,0.011262751585332232,0.040276218717861155,0.0,0.010504549214226633,,275000;154000,651.268003924154
1605,6774,0.030758202371105617,0.0712376796077117,0.0,0.002315963606286187,,275000,1876.70635151225
1605,6775,0.1338430386817483,0.1876333081151208,0.0,0.010918114143920596,,500000;154000,1375.13387409073
1604,6774,0.010235732009925561,0.04479392602590972,0.0,0.008105872622001655,,275000,1924.09087942665
6066,6774,0.01483181692859112,0.05984451853385472,0.0,0.00934656741108354,,275000,9418.65244135507
5886,5887,0.10779406972955356,0.09816328765394583,0.0,0.0023986765922249793,新京葉線,500000,74.5905582926585
536,6092,0.10250896057347669,0.12325067537193153,0.0,0.022167080231596362,"京浜線1,2号線",275000,4757.90334524639
435,5786,0.01282051282051282,0.012820512820512926,0.0064102564102563875,0.006534325889164599,豊岡線 (Toyooka Sen),275000,5466.09697109239
353,5786,0.01282051282051282,0.012820512820513164,0.0064102564102563875,0.007526881720430108,,275000,480.326196125211
181,5564,8.271298593879239e-05,0.006410256410256789,0.0,0.004383788254755997,成瀬線,66000,158.790035696671
181,536,0.056506754893851666,0.06640047013912573,0.0,0.004631927212572374,"京浜線1,2号線",275000,4412.61562260696
536,5564,0.056506754893851666,0.06640047013912591,0.0,0.004714640198511167,"京浜線3,4号線;京浜線3,4号線",275000;275000,4641.47047301574
6100,7911,0.0315136476426799,0.02843258891646052,0.0,8.271298593879239e-05,,500000,211.790479606109
