i,j,LDC,Jaccard,LKS,CI_e_av_skin,CI_e_mul_skin,CI_e_av_body,CI_e_mul_body,LLBCe,LLBMEe1
72,136,117,0.1,20,9278.0,85109088,18984.0,337121280,0.06563605984658617,-1688.9960066835265
72,137,117,0.15789473684210525,25,8622.0,74229984,19032.0,339406848,0.05094064074327234,-1144.1290483948555
72,154,104,0.16666666666666666,25,8031.0,64428840,18634.5,320479488,0.0607578469098077,-1158.0392994526358
72,270,117,0.0,20,8790.0,77016096,19224.0,348549120,0.10784738137679312,-3401.076953098094
72,98,767,0.014084507042253521,40,13397.0,153418584,68831.0,2710636032,0.04619253689196876,-65573.22392270918
73,229,12,0.0,6,2316.0,3605580,2846.0,5263860,0.23809523809523808,-130.42033514974665
73,166,60,0.05555555555555555,18,5867.0,29471064,16062.0,125000820,0.10391909288968113,-1880.3136791864558
73,109,36,0.08333333333333333,12,6389.0,33273312,9261.0,63383760,0.1268939393939394,-580.2729045417282
74,85,65,0.0,28,7026.0,36274752,14544.0,159341760,0.08017181620122799,-1234.0124935911497
74,118,143,0.043478260869565216,35,10452.0,109207440,19894.0,392259360,0.07159433376706899,-2539.989659759027
74,139,91,0.0,35,8112.0,59393520,16335.0,237314736,0.10539388243335612,-2308.853522231905
74,107,65,0.0,28,7474.0,45811776,14138.0,141666144,0.06081438985850751,-910.0187700027933
74,266,169,0.04,56,9396.0,86727312,21822.0,476196768,0.03509444755952108,-1455.1820377630456
74,121,273,0.13333333333333333,56,12012.0,142416720,29624.0,815864640,0.024084797386521528,-1958.125989857529
74,267,130,0.09523809523809523,56,9066.0,79702272,18790.5,344217384,0.028598940741797887,-679.9462090114165
74,194,260,0.1,56,11459.0,130644456,29979.0,831319920,0.02938072581201385,-2478.0354466310278
74,195,403,0.07317073170731707,56,12372.0,150080400,41094.0,1315222560,0.027717823351315844,-6778.808651745265
74,268,169,0.04,56,8832.0,74720880,22266.0,495526752,0.03589394878822712,-1447.7412389377232
74,198,117,0.0,49,8266.0,62671872,17964.0,308234880,0.03692641533550625,-950.5763849013816
75,76,16,0.0,16,3228.0,10417068,3822.0,14596659,0.10104166666666668,-81.25280543155802
75,77,20,0.0,16,3357.0,11263824,5611.5,28651392,0.17060185185185184,-264.6303768574936
75,78,32,0.0,16,5606.5,26029542,7371.0,42470505,0.1164141414141414,-479.19272726979796
76,79,40,0.07692307692307693,16,5353.5,23909742,10314.0,62858187,0.09626831501831501,-559.264913506046
76,80,20,0.0,16,4037.0,15552600,5030.5,23580648,0.0730489417989418,-96.71643261571019
77,87,15,0.0,12,2758.0,7152288,4925.0,18633984,0.1730654761904762,-191.3287870162977
77,91,50,0.0,16,7237.5,37899576,11811.0,119114496,0.13543581175160124,-1279.8332357272295
77,126,80,0.0,32,7078.5,36808200,17695.5,204981120,0.08644519171304887,-2298.5333417152438
77,98,295,0.0,32,10967.0,63498864,60575.0,830678784,0.0374826274506099,-38886.26845344702
78,81,48,0.0,16,6948.0,47308415,9170.0,81382875,0.16135531135531136,-1132.3414773092209
78,99,80,0.058823529411764705,16,8767.0,76161393,11509.5,131986260,0.1574142156862745,-2247.0784977966673
78,100,56,0.07142857142857142,16,7505.5,56151480,10057.5,100579500,0.10453950811093668,-803.980081216429
78,106,40,0.0,16,6459.5,39559828,8487.5,66620400,0.1519230769230769,-856.6551130889094
78,80,40,0.0,16,6415.5,38861900,8579.5,68610360,0.10096916971916972,-551.5637146989125
