i,j,LDC,Jaccard,LKS,CI_e_av_skin,CI_e_mul_skin,CI_e_av_body,CI_e_mul_body,LLBCe,LLBMEe1
173,174,4,0.0,1,5.0,24,10.5,108,0.3333333333333333,-11.090354888959125
173,175,4,0.0,1,6.5,42,14.0,192,0.3333333333333333,-13.862943611198904
174,176,4,0.0,1,3.0,8,8.0,63,0.3333333333333333,-12.712215321391781
176,294,6,0.0,1,3.0,8,9.5,84,0.3,-25.65999671409633
177,178,8,0.0,4,32.0,768,65.5,2730,0.26666666666666666,-66.54212933375474
177,179,4,0.0,4,13.5,176,23.0,520,0.3333333333333333,-13.862943611198904
178,180,8,0.0,4,31.0,672,65.0,2625,0.26666666666666666,-66.54212933375474
178,181,8,0.0,4,30.5,624,64.0,2415,0.26666666666666666,-66.54212933375474
180,291,4,0.0,4,10.5,98,20.0,375,0.3333333333333333,-15.484804043631563
181,263,4,0.0,4,10.5,104,18.5,322,0.3333333333333333,-13.862943611198904
182,183,4,0.0,1,2.5,6,8.0,63,0.3333333333333333,-12.712215321391781
182,184,6,0.0,2,5.5,24,14.5,180,0.3,-29.818879797456
183,185,4,0.0,1,2.0,4,6.0,35,0.3333333333333333,-11.090354888959125
184,227,6,0.0,4,5.5,24,14.5,180,0.3,-29.818879797456006
184,357,6,0.0,4,6.0,32,15.5,220,0.3,-29.818879797456006
185,257,4,0.0,1,1.5,2,4.0,15,0.3333333333333333,-8.317766166719343
186,187,4,0.0,1,1.0,1,3.5,12,0.3333333333333333,-8.317766166719343
186,188,2,0.0,1,0.5,0,1.5,0,0.3333333333333333,-2.772588722239781
189,190,4,0.0,1,1.0,1,4.5,20,0.3333333333333333,-11.090354888959125
189,191,4,0.0,1,1.0,1,3.5,12,0.3333333333333333,-8.317766166719343
190,219,4,0.0,1,1.5,2,5.5,30,0.3333333333333333,-11.090354888959125
191,192,2,0.0,1,0.5,0,1.5,0,0.3333333333333333,-2.772588722239781
194,195,4,0.0,4,14.5,208,26.0,640,0.3333333333333333,-13.862943611198904
195,197,4,0.0,4,9.0,65,15.5,220,0.3333333333333333,-12.712215321391781
196,211,6,0.0,4,21.0,360,42.0,1280,0.3,-33.977762880815675
196,212,6,0.0,4,21.0,360,42.0,1280,0.3,-33.977762880815675
197,292,6,0.0,4,7.5,50,16.5,242,0.3,-29.818879797456
198,200,10,0.0,4,73.0,2304,142.5,9176,0.23809523809523808,-115.20893634619405
198,199,10,0.16666666666666666,4,72.5,2176,141.5,8680,0.13333333333333333,-48.59800917616712
200,285,4,0.0,4,17.5,306,31.5,962,0.3333333333333333,-16.377378248888405
202,205,4,0.0,1,11.5,112,20.0,351,0.3333333333333333,-13.862943611198904
203,259,4,0.0,4,6.0,35,13.5,176,0.3333333333333333,-13.862943611198904
205,240,4,0.0,1,5.5,28,10.5,104,0.3333333333333333,-11.090354888959125
206,208,4,0.0,1,12.5,150,24.5,558,0.3333333333333333,-15.484804043631563
207,209,4,0.0,1,12.0,135,24.0,527,0.3333333333333333,-15.484804043631563
208,248,4,0.0,1,8.0,60,14.0,180,0.3333333333333333,-11.090354888959125
209,347,4,0.0,1,7.0,45,12.5,136,0.3333333333333333,-11.090354888959125
211,214,4,0.0,4,11.0,120,17.5,300,0.3333333333333333,-12.712215321391781
212,213,4,0.0,4,9.5,84,16.0,240,0.3333333333333333,-12.712215321391781
213,255,4,0.0,4,8.0,63,13.5,180,0.3333333333333333,-11.090354888959125
214,256,4,0.0,4,11.5,130,18.5,330,0.3333333333333333,-11.090354888959125
215,216,4,0.0,1,4.0,15,7.5,50,0.3333333333333333,-8.317766166719343
215,217,2,0.0,1,1.5,0,2.5,0,0.3333333333333333,-2.772588722239781
216,218,4,0.0,1,8.5,60,16.0,220,0.3333333333333333,-13.862943611198904
218,290,8,0.0,2,30.0,576,63.5,2310,0.26666666666666666,-66.54212933375474
219,319,4,0.0,1,2.0,4,6.0,36,0.3333333333333333,-11.090354888959125
220,229,6,0.0,1,3.5,6,12.0,128,0.3,-29.818879797456
221,222,8,0.0,4,65.0,3264,105.0,7776,0.26666666666666666,-60.36875378437669
222,238,8,0.0,4,58.5,2016,99.5,5994,0.16666666666666666,-41.02669925965675
